epoch,step,loss
0,0,3.201862
0,50,3.203454
0,100,2.305633
0,150,2.711108
0,200,2.805022
0,250,2.505271
0,300,2.358237
0,350,2.404776
0,400,2.028559
0,450,2.022273
0,500,2.330286
0,550,2.142721
0,600,1.924913
0,650,2.03082
0,700,2.168511
0,750,3.053434
0,800,2.69301
0,850,2.801368
0,900,2.067607
0,950,2.185652
1,0,2.891915
1,50,2.590759
1,100,2.630236
1,150,1.704676
1,200,4.069282
1,250,1.973108
1,300,1.456689
1,350,2.783833
1,400,1.630873
1,450,2.427821
1,500,2.294366
1,550,1.419397
1,600,1.631559
1,650,2.102662
1,700,2.276294
1,750,1.647072
1,800,2.131026
1,850,1.806368
1,900,1.699372
1,950,1.564385
2,0,2.161532
2,50,2.236407
2,100,2.442761
2,150,1.715604
2,200,1.747448
2,250,3.066468
2,300,1.964004
2,350,2.932899
2,400,2.025747
2,450,1.751149
2,500,2.850971
2,550,2.194759
2,600,2.183924
2,650,2.371932
2,700,2.516715
2,750,2.605663
2,800,2.822289
2,850,2.73827
2,900,3.444632
2,950,2.536053
